Saint	Date	Patronage
St Joan of Arc	May 30th	prisoners,soldiers,martyrs
St John Berchman	 November 26th	altar servers,eucharistic ministers
St John Bosco	January 31st	apprentices,editors,hispanic youth,schoolchildren,students
St John Neumann	January 5th	redemptorist,students
St John of God	March 8th	 alcoholism,illness,firefighters,heart patients,nurses,publishers,
St John the Baptist	August 29th	epilepsy,hailstorms,baptism,bird dealers,converts,motorways,printers,tailors
St John the Evangelist	December 27th	 againist burns,poisoning,art dealers,authors,booksellers,editors,engravers,friendship,theologians
St Joseph	March 19th	 carpenters,emigrants,families,fathers,laborers,expectant mothers,social justice,travellers
St Joseph the Workers	May 1st	laboreres,working people
St Joseph Cupertino	September 18th	air travellers,pilots,air crew,astronauts,aviators,paratroopers,students
St Joshua	September 1st	reading,literature,intelligence professionals
St Jude	October 28th	 desperate situations,forgotten causes,hospitals,hospital workers,impossible causes,lost causes
St Julia	 May 22nd	tortured victims
St Justin	June 1st	apologists,lecturers,orators,philosophers,speakers
St Katharine Drexel	March 3rd	betterment of those called to serve
St Kevin	 June 3rd	blackbirds,Ireland
St Kilian	July 8th rheumatism,gout,
St Lawrence	August 10th	archivists,brewers,butchers,chefs,comedians,deacons,librarians,poor,restaurants
St Lazarus	February 23rd	 poor,sick
St Louise	March 15th	 sad children,loss of parents,rejected,illness,social workers,widows
St Lucia	 December 13th	blindness,eyes,sore throats,authors,poor,stained glass workers,writers
St Luke	October 18th	artist,bookbinders,brewers,butchers,doctors,glass makers,goldsmiths painters,
St Margaret	October 16th	 polio,death of parents
St Maria Faustina	October 5th	lymphedema,heart conditions,milroy's disease
St Maria Goretti	July 6th	poverty,children,youth,poor,rape
St Mark	April 25th	impenitence,insect bites,struma,attorney's,prisoners,notaries,lions
St Martha	July 29th	butlers,cooks,housewives,maids,servants,serveres,travellers
St Martin de Porres	November 3rd	african-americans,barbers,social justice,hair stylist,poor,public education,racial harmony,television
St Mary Magdalene	July 22nd	sexual temptation,converts,pharmacist,penitent sinners,perfumers
St Matthew	September 21st	accountants,bankers,guards,security guards,security forces,stock brokers
St Maximilian Kolbe	August 14th	drug addicts,families,prisoners,journalist,pro-life
St Michael	September 29th	ambulance drivers,artists,bakers,bankers,battle,grocers,mariners,paramedics,police,radiologist,sailors,soldiers
St Nicholas	December 6th	against imprisonment,against robbers,archers,brides,captives,children,fishermen,grooms,judges,merchants,pharmacist,poor
St Patrick	March 17th	against snakes,against snake bites,engineers,ophidiophobia
St Paul	June 29th	against snakes,authors,evangelist,journalist,musicians,publishers,reporters,rope makers,saddlers,writers
St Peregrine	 May 1st	 against cancer,skin diseases,AIDS
St Peter	 June 29th	feet,fever,bakers,bridge builders,clock makers,anglers,locksmiths,masons,ship builders,shoemakers,watch makers
St Philip	May 3rd	hatters,pastry chefs
St Philomena	 August 11th	 barrenness,infertility,mental illness,infants,desperate causes,impossible causes,poor,priest,prisoners,students,youth
St Pio	September 23rd	civil defense volunteers,stress relief
St Raphael	September 29th	eye disease,mental illness,blind,doctors,pharmacist,love,lovers,nurses,physicians,travellers,young people
St Raymond	January 7th	attorneys,canonist,medical record librarians
St Richard	April 3rd	 coachmen
St Rita	May 22nd	 abuse victims,infertility,loneliness,desperate causes,difficult marriages,parenthood,widows
St Robert	April 29th	 Catechist
St. Roch (San Roque)	 August 16th	 dogs,falsely accused people,invalids,diseased cattle,epidemics,knee,skin,plague,pestilence
St Rose	August 23rd	against vanity,embroiderers,florist,gardeners,
St Sarah	 August 19th	 laughter,music,
St Scholastica	February 10th	 storms,convulsive children,nuns
St Sebastian	 January 20th	cattle,plague. Archers,athletes,gardeners,gunsmiths,hardware stores,ironmongers,masons,police,soldiers
St Stephen	December 26th	 headaches,casket makers,deacons,horses,masons
St Teresa of Avila	October 15th	illness,headaches,parent protector,need of grace,religious order life
St Theresa of Lisieux	February 3rd	coughs,throat diseases,animals,builders,veterinarians
St Thomas Aquinas	January 28th	academics,storms,apologists,chastity,colleges,philosophers,publishers,scholars,schools,students,theologians,universities
St Thomas More	June 22nd	 adopted children,court clerks,large families,lawyers,politicians,step-parents,widowers
St Thomas the Apostle	July 3rd	blindness,doubt,architects,builders,geometricians,masons,surveyors
St Timothy	May 3rd	blind,architects,carpenters,masons,
St Valentine of Rome	February 14th	couples,epilepsy,fainting,bee keepers,engaged couples,happy marriages,love,lovers,travellers,young people
St Veronica	July 12th	laundry workers,photographers
St Vianney	August 4th	confessors,priest
St Vincent de Paul	September 27th	charities,horses,hospital workers,hospitals,lost articles,prisoners,spiritual help,volunteers
St William	June 20th	 adopted children
St William of Vercelli	June 25th	 health,prosperity,healing,relationships,stomach illnesses,depression,adoption,cancer
St Zachary	November 5th	peace,coming of messiah
